"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","sale.date.d","gross.sqft","land.sqft"
"1",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3030,56,NA,"A1","412 EAST 182 STREET"," ",10457,"1","                  -  ","1","1,306","1,440",1899,1,"A1"," $178,000 ","1/19/2017",178000,2017-01-19,1440,1306
"3",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3043,55,NA,"A1","1948 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,356","2,047",1901,1,"A1"," $220,000 ","6/22/2016",220000,2016-06-22,2047,2356
"4",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3046,52,NA,"A1","2047 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,329","1,431",1901,1,"A1"," $273,796 ","9/21/2016",273796,2016-09-21,1431,2329
"5",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3046,52,NA,"A1","2047 BATHGATE AVENUE"," ",10457,"1","                  -  ","1","2,329","1,431",1901,1,"A1"," $231,244 ","9/21/2016",231244,2016-09-21,1431,2329
"8",2,"BATHGATE","01 ONE FAMILY DWELLINGS                    ","1",3048,28,NA,"A1","540 EAST 182 STREET"," ",10457,"1","                  -  ","1","1,209","1,048",1901,1,"A1"," $290,000 ","9/27/2016",290000,2016-09-27,1048,1209
"10",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2900,61,NA,"S2","406 EAST TREMONT AVENUE"," ",10457,"2","1","3","1,855","4,452",1931,1,"S2"," $399,000 ","2/24/2016",399000,2016-02-24,4452,1855
"11",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2912,117,NA,"B1","1538 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","2,000","2,400",1993,1,"B1"," $493,000 ","4/13/2016",493000,2016-04-13,2400,2000
"13",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",2929,137,NA,"B1","541 CLAREMONT PARKWAY"," ",10457,"2","                  -  ","2","3,664","2,394",1995,1,"B1"," $470,000 ","7/20/2016",470000,2016-07-20,2394,3664
"14",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3030,149,NA,"S2","2260 WEBSTER AVENUE"," ",10457,"2","1","3","1,620","3,240",1931,1,"S2"," $550,000 ","3/11/2016",550000,2016-03-11,3240,1620
"16",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3035,140,NA,"B1","1983 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","4,124","2,340",1998,1,"B1"," $445,000 ","8/30/2016",445000,2016-08-30,2340,4124
"17",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3039,6,NA,"B1","440 EAST 185 STREET"," ",10458,"2","                  -  ","2","1,500","2,400",1997,1,"B1"," $422,500 ","6/10/2016",422500,2016-06-10,2400,1500
"19",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3039,130,NA,"B1","469A EAST 184 STREET"," ",10458,"2","                  -  ","2","1,016","700",2006,1,"B1"," $518,000 ","8/3/2016",518000,2016-08-03,700,1016
"20",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3045,16,NA,"B3","2060 BATHGATE AVE"," ",10457,"2","                  -  ","2","1,429","1,872",1910,1,"B3"," $250,000 ","11/17/2016",250000,2016-11-17,1872,1429
"21",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3046,7,NA,"B2","2038 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","3,732","2,901",2000,1,"B2"," $494,000 ","9/29/2016",494000,2016-09-29,2901,3732
"23",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3047,9,NA,"B9","2122 WASHINGTON AVENUE"," ",10457,"2","                  -  ","2","1,258","2,340",1901,1,"B9"," $240,000 ","11/14/2016",240000,2016-11-14,2340,1258
"24",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3048,12,NA,"B2","2174 BATHGATE AVENUE"," ",10457,"2","                  -  ","2","4,973","4,375",1901,1,"B2"," $680,000 ","8/5/2016",680000,2016-08-05,4375,4973
"26",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3050,85,NA,"B1","2241 BATHGATE AVENUE"," ",10457,"2","                  -  ","2","1,562","2,536",2004,1,"B1"," $430,000 ","2/3/2016",430000,2016-02-03,2536,1562
"27",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3050,93,NA,"B2","2238 BASSFORD AVENUE"," ",10457,"2","                  -  ","2","1,301","2,300",1901,1,"B2"," $495,000 ","4/13/2016",495000,2016-04-13,2300,1301
"28",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,5,NA,"B9","509 EAST 183 STREET"," ",10458,"2","                  -  ","2","1,420","2,805",1901,1,"B9"," $165,000 ","9/2/2016",165000,2016-09-02,2805,1420
"29",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,5,NA,"B9","509 EAST 183 STREET"," ",10458,"2","                  -  ","2","1,420","2,805",1901,1,"B9"," $290,000 ","12/2/2016",290000,2016-12-02,2805,1420
"32",2,"BATHGATE","02 TWO FAMILY DWELLINGS                    ","1",3053,109,NA,"B3","2315 BASSFORD AVENUE"," ",10458,"2","                  -  ","2","1,202","1,966",1901,1,"B3"," $480,000 ","3/17/2016",480000,2016-03-17,1966,1202
"33",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3031,145,NA,"C0","412 E 187TH STREET"," ",10458,"3","                  -  ","3","1,784","2,302",2004,1,"C0"," $545,000 ","10/14/2016",545000,2016-10-14,2302,1784
"36",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3038,124,NA,"C0","466 EAST 183 STREET"," ",10458,"3","                  -  ","3","1,204","2,889",2004,1,"C0"," $390,000 ","6/30/2016",390000,2016-06-30,2889,1204
"37",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3039,61,NA,"C0","2355 WASHINGTON AVENUE"," ",10458,"3","                  -  ","3","1,638","3,240",2007,1,"C0"," $350,000 ","6/27/2016",350000,2016-06-27,3240,1638
"39",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3047,29,NA,"C0","2108 BATHGATE AVE"," ",10457,"3","                  -  ","3","1,650","3,316",2005,1,"C0"," $450,000 ","2/1/2016",450000,2016-02-01,3316,1650
"42",2,"BATHGATE","03 THREE FAMILY DWELLINGS                  ","1",3053,121,NA,"C0","506 EAST 184 STREET"," ",10458,"3","                  -  ","3","1,269","2,936",2005,1,"C0"," $351,000 ","5/11/2016",351000,2016-05-11,2936,1269
"99",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4707,20,NA,"A5","1139 EAST 212TH STREET"," ",10469,"1","                  -  ","1","3,203","1,890",1945,1,"A5"," $365,000 ","3/15/2016",365000,2016-03-15,1890,3203
"100",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4707,59,NA,"A5","1108 EAST 213TH STREET"," ",10469,"1","                  -  ","1","1,494","1,512",1950,1,"A5"," $382,000 ","7/29/2016",382000,2016-07-29,1512,1494
"101",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4707,60,NA,"A5","1110 EAST 213 STREET"," ",10469,"1","                  -  ","1","1,614","1,512",1950,1,"A5"," $80,000 ","6/29/2016",80000,2016-06-29,1512,1614
"102",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4709,50,NA,"A5","1142 EAST 215 STREET"," ",10469,"1","                  -  ","1","1,710","1,732",1945,1,"A5"," $393,000 ","3/22/2016",393000,2016-03-22,1732,1710
"103",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4710,1,NA,"A5","1127 EAST 215 STREET"," ",10469,"1","                  -  ","1","2,759","1,998",1945,1,"A5"," $400,000 ","12/8/2016",4e+05,2016-12-08,1998,2759
"104",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4723,3,NA,"A2","3483 MICKLE AVENUE"," ",10469,"1","                  -  ","1","1,918","1,024",1945,1,"A2"," $299,000 ","6/17/2016",299000,2016-06-17,1024,1918
"105",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4723,5,NA,"A2","3479 MICKLE AVENUE"," ",10469,"1","                  -  ","1","1,918","1,024",1945,1,"A2"," $556,247 ","6/6/2016",556247,2016-06-06,1024,1918
"106",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4723,6,NA,"A2","3477 MICKLE AVE"," ",10469,"1","                  -  ","1","1,918","1,024",1945,1,"A2"," $328,570 ","5/5/2016",328570,2016-05-05,1024,1918
"107",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4724,40,NA,"S1","3448 MICKLE AVENUE"," ",10469,"1","1","2","2,465","2,112",1950,1,"S1"," $326,000 ","12/20/2016",326000,2016-12-20,2112,2465
"108",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4724,40,NA,"S1","3448 MICKLE AVENUE"," ",10469,"1","1","2","2,465","2,112",1950,1,"S1"," $359,623 ","2/22/2016",359623,2016-02-22,2112,2465
"110",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4728,106,NA,"A5","3416 KINGSLAND AVENUE"," ",10469,"1","                  -  ","1","1,740","1,224",1960,1,"A5"," $433,000 ","4/5/2016",433000,2016-04-05,1224,1740
"111",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4730,15,NA,"A2","3427 WICKHAM AVENUE"," ",10469,"1","                  -  ","1","2,375","2,565",1920,1,"A2"," $415,000 ","4/27/2016",415000,2016-04-27,2565,2375
"113",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4733,16,NA,"A5","3337 BOUCK AVENUE"," ",10469,"1","                  -  ","1","1,900","1,254",1940,1,"A5"," $350,000 ","12/29/2016",350000,2016-12-29,1254,1900
"115",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4733,20,NA,"A5","3329 BOUCK AVENUE"," ",10469,"1","                  -  ","1","1,900","1,254",1940,1,"A5"," $317,200 ","1/20/2017",317200,2017-01-20,1254,1900
"116",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,12,NA,"A5","3363 WILSON AVENUE"," ",10469,"1","                  -  ","1","2,350","1,799",1940,1,"A5"," $95,000 ","1/30/2017",95000,2017-01-30,1799,2350
"117",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,12,NA,"A5","3363 WILSON AVENUE"," ",10469,"1","                  -  ","1","2,350","1,799",1940,1,"A5"," $48,550 ","12/9/2016",48550,2016-12-09,1799,2350
"118",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,51,NA,"A5","3316 BOUCK AVENUE"," ",10469,"1","                  -  ","1","1,900","1,567",1940,1,"A5"," $345,000 ","12/29/2016",345000,2016-12-29,1567,1900
"119",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,67,NA,"A5","3346 BOUCK AVE"," ",10469,"1","                  -  ","1","1,900","1,681",1940,1,"A5"," $335,000 ","12/5/2016",335000,2016-12-05,1681,1900
"120",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,73,NA,"A5","1276 GIVAN AVENUE"," ",10469,"1","                  -  ","1","1,728","1,280",1955,1,"A5"," $374,000 ","12/15/2016",374000,2016-12-15,1280,1728
"121",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,73,NA,"A5","1276 GIVAN AVENUE"," ",10469,"1","                  -  ","1","1,728","1,280",1955,1,"A5"," $110,000 ","3/18/2016",110000,2016-03-18,1280,1728
"122",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,78,NA,"A5","1288 GIVAN AVENUE"," ",10469,"1","                  -  ","1","1,908","1,408",1955,1,"A5"," $350,000 ","5/27/2016",350000,2016-05-27,1408,1908
"123",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,90,NA,"A5","3221 WILSON AVENUE"," ",10469,"1","                  -  ","1","2,000","1,800",1940,1,"A5"," $370,000 ","6/29/2016",370000,2016-06-29,1800,2000
"124",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4734,110,NA,"A5","3272 BOUCK AVENUE"," ",10469,"1","                  -  ","1","2,300","1,782",1955,1,"A5"," $500 ","9/12/2016",500,2016-09-12,1782,2300
"125",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4735,60,NA,"A5","3358 WILSON AVENUE"," ",10469,"1","                  -  ","1","1,900","1,681",1930,1,"A5"," $380,000 ","9/27/2016",380000,2016-09-27,1681,1900
"126",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4736,42,NA,"A5","3310 FISH AVENUE"," ",10469,"1","                  -  ","1","1,800","1,690",1935,1,"A5"," $343,000 ","2/8/2016",343000,2016-02-08,1690,1800
"128",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4737,28,NA,"A5","3325 FENTON AVENUE"," ",10469,"1","                  -  ","1","1,900","1,406",1945,1,"A5"," $340,000 ","9/13/2016",340000,2016-09-13,1406,1900
"129",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4737,93,NA,"A5","3301 FENTON AVENUE"," ",10469,"1","                  -  ","1","1,942","1,444",1945,1,"A5"," $400,000 ","8/16/2016",4e+05,2016-08-16,1444,1942
"132",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4741,8,NA,"A5","3249 FENTON AVENUE"," ",10469,"1","                  -  ","1","2,025","1,280",1920,1,"A5"," $265,000 ","6/16/2016",265000,2016-06-16,1280,2025
"135",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4742,7,NA,"A5","3253 CORSA AVENUE"," ",10469,"1","                  -  ","1","1,800","1,260",1950,1,"A5"," $400,000 ","6/27/2016",4e+05,2016-06-27,1260,1800
"136",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4742,14,NA,"A5","3239 CORSA AVENUE"," ",10469,"1","                  -  ","1","2,300","1,260",1950,1,"A5"," $310,000 ","2/1/2016",310000,2016-02-01,1260,2300
"137",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4745,27,NA,"A5","1619 GIVAN AVENUE"," ",10469,"1","                  -  ","1","1,713","1,505",1965,1,"A5"," $370,000 ","1/5/2017",370000,2017-01-05,1505,1713
"138",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4745,46,NA,"A5","3322 MICKLE AVENUE"," ",10469,"1","                  -  ","1","1,520","1,432",1970,1,"A5"," $10 ","3/10/2016",10,2016-03-10,1432,1520
"140",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4747,20,NA,"A5","3235 MICKLE AVENUE"," ",10469,"1","                  -  ","1","1,710","1,759",1955,1,"A5"," $358,000 ","4/25/2016",358000,2016-04-25,1759,1710
"141",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4747,30,NA,"A1","3211 MICKLE AVENUE"," ",10469,"1","                  -  ","1","2,850","1,056",1940,1,"A1"," $182,000 ","9/26/2016",182000,2016-09-26,1056,2850
"142",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4749,15,NA,"A5","3345 TIEMANN"," ",10469,"1","                  -  ","1","1,710","1,714",1955,1,"A5"," $247,000 ","10/3/2016",247000,2016-10-03,1714,1710
"143",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4750,1,NA,"A5","3358 TIEMANN AVENUE"," ",10469,"1","                  -  ","1","2,798","1,782",1950,1,"A5"," $170,000 ","12/28/2016",170000,2016-12-28,1782,2798
"145",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4750,24,NA,"A5","3327 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,710","1,539",1950,1,"A5"," $340,000 ","2/22/2016",340000,2016-02-22,1539,1710
"146",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4750,34,NA,"A5","3307 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,710","1,539",1950,1,"A5"," $10,000 ","7/28/2016",10000,2016-07-28,1539,1710
"147",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4750,36,NA,"A5","3303 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,710","1,890",1950,1,"A5"," $217,500 ","10/28/2016",217500,2016-10-28,1890,1710
"148",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4750,36,NA,"A5","3303 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,710","1,890",1950,1,"A5"," $266,600 ","2/2/2016",266600,2016-02-02,1890,1710
"151",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4756,37,NA,"A5","1833 BURKE AVENUE"," ",10469,"1","                  -  ","1","1,470","992",1963,1,"A5"," $295,000 ","1/23/2017",295000,2017-01-23,992,1470
"152",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4765,66,NA,"A5","3152 KINGSLAND AVENUE"," ",10469,"1","                  -  ","1","1,710","1,116",1955,1,"A5"," $330,000 ","7/11/2016",330000,2016-07-11,1116,1710
"153",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4766,19,NA,"A5","3025A MICKLE AVENUE"," ",10469,"1","                  -  ","1","3,125","1,904",1975,1,"A5"," $10 ","5/15/2016",10,2016-05-15,1904,3125
"154",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4766,24,NA,"A1","3017 MICKLE AVENUE"," ",10469,"1","                  -  ","1","3,127","1,224",1935,1,"A1"," $249,900 ","6/28/2016",249900,2016-06-28,1224,3127
"155",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4766,33,NA,"A1","1511 ADEE AVENUE"," ",10469,"1","                  -  ","1","2,502","1,224",1935,1,"A1"," $378,000 ","10/14/2016",378000,2016-10-14,1224,2502
"157",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4773,16,NA,"A5","3039 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","2,890","1,890",1955,1,"A5"," $439,000 ","5/27/2016",439000,2016-05-27,1890,2890
"158",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4775,37,NA,"A5","3010 WICKHAM AVENUE"," ",10469,"1","                  -  ","1","1,120","1,384",1955,1,"A5"," $270,000 ","10/31/2016",270000,2016-10-31,1384,1120
"159",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4775,37,NA,"A5","3010 WICKHAM AVE"," ",10469,"1","                  -  ","1","1,120","1,384",1955,1,"A5"," $503,335 ","2/22/2016",503335,2016-02-22,1384,1120
"160",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4775,38,NA,"A5","3012 WICKHAM AVENUE"," ",10469,"1","                  -  ","1","1,516","1,384",1955,1,"A5"," $348,000 ","9/12/2016",348000,2016-09-12,1384,1516
"161",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4775,134,NA,"A5","3002 WICKHAM AVENUE"," ",10469,"1","                  -  ","1","1,120","1,384",1955,1,"A5"," $238,000 ","1/30/2017",238000,2017-01-30,1384,1120
"162",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4778,40,NA,"A2","3120 GRACE"," ",10469,"1","                  -  ","1","3,650","1,268",1950,1,"A2"," $1 ","9/23/2016",1,2016-09-23,1268,3650
"163",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4780,11,NA,"A5","3039 GRACE AVENUE"," ",10469,"1","                  -  ","1","2,653","1,260",1960,1,"A5"," $352,000 ","7/22/2016",352000,2016-07-22,1260,2653
"164",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4780,39,NA,"A5","3008 ELY AVENUE"," ",10469,"1","                  -  ","1","2,651","1,260",1960,1,"A5"," $190,000 ","6/7/2016",190000,2016-06-07,1260,2651
"165",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4780,46,NA,"A5","3020 ELY AVENUE"," ",10469,"1","                  -  ","1","2,651","1,260",1960,1,"A5"," $320,000 ","11/10/2016",320000,2016-11-10,1260,2651
"166",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4781,14,NA,"A5","3057 EDSON AVENUE"," ",10469,"1","                  -  ","1","1,723","1,116",1955,1,"A5"," $360,000 ","1/27/2017",360000,2017-01-27,1116,1723
"168",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4781,35,NA,"A5","3015 EDSON"," ",10469,"1","                  -  ","1","1,692","1,674",1955,1,"A5"," $245,000 ","10/17/2016",245000,2016-10-17,1674,1692
"169",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4781,35,NA,"A5","3015 EDSON AVENUE"," ",10469,"1","                  -  ","1","1,692","1,674",1955,1,"A5"," $500 ","6/3/2016",500,2016-06-03,1674,1692
"170",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4781,37,NA,"A5","3011 EDSON AVENUE"," ",10469,"1","                  -  ","1","1,692","1,674",1955,1,"A5"," $335,000 ","2/5/2016",335000,2016-02-05,1674,1692
"171",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4787,14,NA,"A1","2839 TIEMANN AVENUE"," ",10469,"1","                  -  ","1","3,555","1,324",1925,1,"A1"," $330,000 ","1/24/2017",330000,2017-01-24,1324,3555
"172",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4788,17,NA,"A2","2941 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","3,555","1,380",1935,1,"A2"," $420,000 ","10/31/2016",420000,2016-10-31,1380,3555
"173",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4791,32,NA,"A2","1831 ARNOW AVENUE"," ",10469,"1","                  -  ","1","3,788","870",1910,1,"A2"," $58,000 ","4/27/2016",58000,2016-04-27,870,3788
"175",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4793,32,NA,"A1","1757 BARTOW AVENUE"," ",10469,"1","                  -  ","1","5,004","840",1945,1,"A1"," $290,000 ","6/28/2016",290000,2016-06-28,840,5004
"176",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4794,30,NA,"A1","1809 BARTOW AVENUE"," ",10469,"1","                  -  ","1","5,004","1,294",1925,1,"A1"," $119,000 ","11/14/2016",119000,2016-11-14,1294,5004
"179",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4795,53,NA,"A1","2880 BRUNER AVENUE"," ",10469,"1","                  -  ","1","2,205","1,320",1960,1,"A1"," $417,000 ","1/27/2017",417000,2017-01-27,1320,2205
"180",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4803,44,NA,"A5","2724 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,520","1,088",1955,1,"A5"," $375,000 ","1/31/2017",375000,2017-01-31,1088,1520
"181",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4803,44,NA,"A5","2724 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","1,520","1,088",1955,1,"A5"," $250,000 ","5/5/2016",250000,2016-05-05,1088,1520
"182",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4803,46,NA,"A5","2730 GUNTHER AVENUE"," ",10469,"1","                  -  ","1","2,470","1,088",1955,1,"A5"," $425,000 ","5/26/2016",425000,2016-05-26,1088,2470
"183",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4882,6,NA,"A5","3382 ELY AVE"," ",10469,"1","                  -  ","1","1,900","1,088",1901,1,"A5"," $288,400 ","7/14/2016",288400,2016-07-14,1088,1900
"184",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4897,6,NA,"A5","1271 E 222"," ",10469,"1","                  -  ","1","2,642","1,690",1950,1,"A5"," $420,000 ","12/16/2016",420000,2016-12-16,1690,2642
"185",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4897,6,NA,"A5","1271 EAST 222 STREET"," ",10469,"1","                  -  ","1","2,642","1,690",1950,1,"A5"," $250,000 ","7/28/2016",250000,2016-07-28,1690,2642
"186",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4897,80,NA,"A1","1260 EAST 223RD STREET"," ",10466,"1","                  -  ","1","4,297","1,200",1920,1,"A1"," $270,000 ","6/15/2016",270000,2016-06-15,1200,4297
"187",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4898,18,NA,"A5","1255 EAST 223 STREET"," ",10466,"1","                  -  ","1","1,600","960",1955,1,"A5"," $400,000 ","7/26/2016",4e+05,2016-07-26,960,1600
"188",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4898,18,NA,"A5","1255 EAST 223 STREET"," ",10466,"1","                  -  ","1","1,600","960",1955,1,"A5"," $170,000 ","2/17/2016",170000,2016-02-17,960,1600
"189",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4898,28,NA,"A5","1235 E 223"," ",10466,"1","                  -  ","1","1,600","960",1955,1,"A5"," $315,000 ","5/3/2016",315000,2016-05-03,960,1600
"192",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4900,9,NA,"A2","1117 EAST 222ND ST"," ",10469,"1","                  -  ","1","3,900","920",1920,1,"A2"," $419,700 ","1/27/2017",419700,2017-01-27,920,3900
"194",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4902,24,NA,"A5","1145B EAST 223 STREET"," ",10466,"1","                  -  ","1","1,800","1,534",1950,1,"A5"," $320,000 ","6/28/2016",320000,2016-06-28,1534,1800
"195",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4903,72,NA,"A5","1152 EAST 225TH STREET"," ",10466,"1","                  -  ","1","1,152","1,384",1970,1,"A5"," $280,000 ","4/14/2016",280000,2016-04-14,1384,1152
"196",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4916,31,NA,"A5","3619 DE REIMER AVENUE"," ",10466,"1","                  -  ","1","1,827","1,744",1964,1,"A5"," $410,000 ","8/2/2016",410000,2016-08-02,1744,1827
"197",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4918,27,NA,"A2","3538 BAYCHESTER AVENUE"," ",10466,"1","                  -  ","1","2,900","968",1920,1,"A2"," $450,000 ","11/4/2016",450000,2016-11-04,968,2900
"198",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4918,27,NA,"A2","3538 BAYCHESTER AVENUE"," ",10466,"1","                  -  ","1","2,900","968",1920,1,"A2"," $190,000 ","6/9/2016",190000,2016-06-09,968,2900
"200",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4939,11,NA,"A5","3885 AMUNDSON AVENUE"," ",10466,"1","                  -  ","1","1,800","1,701",1957,1,"A5"," $383,400 ","8/29/2016",383400,2016-08-29,1701,1800
"202",2,"BAYCHESTER","01 ONE FAMILY DWELLINGS                    ","1",4943,53,NA,"A1","3697 SECOR AVENUE"," ",10466,"1","                  -  ","1","2,856","1,248",1925,1,"A1"," $420,000 ","3/10/2016",420000,2016-03-10,1248,2856
